CORREL,CHISQR,INTERSECT,BHATTACHARYYA,EMD,Screen_Transition
1,0,0.999999975,0,0,0
0.999999999,1.55E-05,0.999947996,0.00122686384,1.29E-05,0
0.999999986,7.09E-05,0.99958675,0.00273574071,7.38E-05,0
0.999999997,6.40E-05,0.999814392,0.00241960117,4.97E-05,0
0.99991367,0.266666955,0.974281794,0.0883011682,0.0645986336,0
1,9.96E-07,0.999979122,0.000304229036,9.93E-07,0
1,0,1.000000015,0,0,0
1,0,1.000000015,0,0,0
1,8.79E-07,0.999979874,0.000288832268,8.94E-07,0
0.999999635,0.000850512458,0.99831311,0.00934866431,0.000818832934,0
1,0,1.000000027,0,0,0
1,4.40E-06,0.999972169,0.000674810466,4.84E-06,0
1,0,0.999999943,0,0,0
1,0,0.999999943,0,0,0
0.999999753,0.0009926496,0.998608012,0.00982299029,0.000850792785,0
1,0,0.999999929,0,0,0
0.999999996,1.90E-05,0.999909375,0.00172126163,2.69E-05,0
0.999999995,8.39E-06,0.999885173,0.000900335205,8.69E-06,0
1,0,1.000000018,0,0,0
0.999999895,0.000554529301,0.999005206,0.00737375715,0.000504962979,0
1,8.91E-07,0.999980887,0.000289673508,9.01E-07,0
1,0,1.000000089,0,0,0
1,0,1.000000089,0,0,0
1,8.12E-07,0.999983478,0.000273226394,8.01E-07,0
0.999999996,2.21E-05,0.999810658,0.00142616496,2.18E-05,0
1,0,0.999999902,0,0,0
1,1.13E-06,0.999987037,0.000332232718,1.18E-06,0
1,0,0.999999985,0,0,0
1,0,0.999999985,0,0,0
0.999999768,0.000868683947,0.998220154,0.00820518598,0.000621258663,0
1,0,1.000000033,0,0,0
1,2.11E-07,0.999994141,0.000139386046,2.09E-07,0
1,4.38E-07,0.999987176,0.000201656769,4.36E-07,0
1,0,1.000000033,0,0,0
0.999999126,0.000762495125,0.998110775,0.00829173903,0.000681431131,0
1,9.52E-07,0.999992017,0.000933510111,5.03E-06,0
1,0,1.000000054,0,0,0
1,0,1.000000054,0,0,0
1,6.11E-06,0.99997487,0.00118307262,9.23E-06,0
0.999999627,0.000654262871,0.998481136,0.00869694086,0.00073002331,0
1,0,1.000000009,1.05E-08,0,0
0.999999997,1.26E-05,0.999901949,0.00105443487,1.19E-05,0
1,6.33E-07,0.999989292,0.000239434531,6.15E-07,0
1,5.72E-07,0.999987684,0.00023443736,5.90E-07,0
0.999999791,0.000904589958,0.998457777,0.00810999053,0.000645982508,0
1,5.54E-07,0.999988713,0.000227784462,5.57E-07,0
1,7.42E-07,0.999981122,0.000260584258,7.29E-07,0
1,9.19E-07,0.999983346,0.000292941078,9.21E-07,0
1,1.07E-06,0.999987097,0.000311095906,1.04E-06,0
0.99999974,0.000508276725,0.999022432,0.00692891553,0.000474599059,0
1,7.23E-07,0.99998658,0.000259596387,7.23E-07,0
1,6.33E-07,0.999983901,0.000243977659,6.39E-07,0
1,9.47E-07,0.999985509,0.000295370918,9.37E-07,0
1,7.48E-07,0.999979259,0.00026642978,7.62E-07,0
0.999999991,0.000268434729,0.999567873,0.00480688512,0.000215268189,0
1,2.29E-06,0.999975274,0.000482099264,2.49E-06,0
1,1.70E-06,0.999966611,0.000398283093,1.70E-06,0
1,6.02E-07,0.999985992,0.000238787882,6.12E-07,0
1,5.81E-07,0.999983755,0.0002317054,5.77E-07,0
0.999999736,0.000572929644,0.998540059,0.00619737245,0.000375472299,0
1,5.54E-07,0.999988713,0.000227784462,5.57E-07,0
1,7.42E-07,0.999981122,0.000260584258,7.29E-07,0
1,9.19E-07,0.999983346,0.000292941078,9.21E-07,0
1,1.07E-06,0.999987097,0.000311095906,1.04E-06,0
0.99999974,0.000508276725,0.999022432,0.00692891553,0.000474599059,0
1,7.23E-07,0.99998658,0.000259596387,7.23E-07,0
1,6.33E-07,0.999983901,0.000243977659,6.39E-07,0
1,9.47E-07,0.999985509,0.000295370918,9.37E-07,0
1,7.48E-07,0.999979259,0.00026642978,7.62E-07,0
0.999999991,0.000268434729,0.999567873,0.00480688512,0.000215268189,0
1,2.29E-06,0.999975274,0.000482099264,2.49E-06,0
1,1.70E-06,0.999966611,0.000398283093,1.70E-06,0
1,6.02E-07,0.999985992,0.000238787882,6.12E-07,0
1,5.81E-07,0.999983755,0.0002317054,5.77E-07,0
0.999999736,0.000572929644,0.998540059,0.00619737245,0.000375472299,0
1,5.54E-07,0.999988713,0.000227784462,5.57E-07,0
1,7.42E-07,0.999981122,0.000260584258,7.29E-07,0
1,9.19E-07,0.999983346,0.000292941078,9.21E-07,0
1,1.07E-06,0.999987097,0.000311095906,1.04E-06,0
0.99999974,0.000508276725,0.999022432,0.00692891553,0.000474599059,0
1,7.23E-07,0.99998658,0.000259596387,7.23E-07,0
1,6.33E-07,0.999983901,0.000243977659,6.39E-07,0
1,9.47E-07,0.999985509,0.000295370918,9.37E-07,0
1,7.48E-07,0.999979259,0.00026642978,7.62E-07,0
0.999999991,0.000268434729,0.999567873,0.00480688512,0.000215268189,0
1,2.29E-06,0.999975274,0.000482099264,2.49E-06,0
1,1.70E-06,0.999966611,0.000398283093,1.70E-06,0
1,6.02E-07,0.999985992,0.000238787882,6.12E-07,0
1,5.81E-07,0.999983755,0.0002317054,5.77E-07,0
0.999999736,0.000572929644,0.998540059,0.00619737245,0.000375472299,0
1,5.54E-07,0.999988713,0.000227784462,5.57E-07,0
1,7.42E-07,0.999981122,0.000260584258,7.29E-07,0
1,9.19E-07,0.999983346,0.000292941078,9.21E-07,0
1,1.07E-06,0.999987097,0.000311095906,1.04E-06,0
0.99999974,0.000508276725,0.999022432,0.00692891553,0.000474599059,0
1,7.23E-07,0.99998658,0.000259596387,7.23E-07,0
1,6.33E-07,0.999983901,0.000243977659,6.39E-07,0
1,9.47E-07,0.999985509,0.000295370918,9.37E-07,0
1,7.48E-07,0.999979259,0.00026642978,7.62E-07,0
0.999999991,0.000268434729,0.999567873,0.00480688512,0.000215268189,0
1,2.29E-06,0.999975274,0.000482099264,2.49E-06,0
1,1.70E-06,0.999966611,0.000398283093,1.70E-06,0
1,6.02E-07,0.999985992,0.000238787882,6.12E-07,0
1,5.81E-07,0.999983755,0.0002317054,5.77E-07,0
0.999999736,0.000572929644,0.998540059,0.00619737245,0.000375472299,0
1,5.54E-07,0.999988713,0.000227784462,5.57E-07,0
1,7.42E-07,0.999981122,0.000260584258,7.29E-07,0
1,9.19E-07,0.999983346,0.000292941078,9.21E-07,0
1,1.07E-06,0.999987097,0.000311095906,1.04E-06,0
0.99999974,0.000508276725,0.999022432,0.00692891553,0.000474599059,0
1,7.23E-07,0.99998658,0.000259596387,7.23E-07,0
1,6.33E-07,0.999983901,0.000243977659,6.39E-07,0
1,9.47E-07,0.999985509,0.000295370918,9.37E-07,0
1,7.48E-07,0.999979259,0.00026642978,7.62E-07,0
0.999999991,0.000268434729,0.999567873,0.00480688512,0.000215268189,0
0.999999998,1.23E-05,0.999977182,0.00105590961,1.20E-05,0
1,3.10E-06,0.999965544,0.000540181142,3.13E-06,0
0.999999985,0.000172888251,0.999835608,0.0045935051,0.000156575292,0
0.999999987,0.000246171821,0.999730901,0.0141451752,0.0011315225,0
0.999996004,0.127316909,0.995959804,0.0411199136,0.0123335434,0
0.999999968,0.000834896972,0.999886602,0.0110023925,0.000748010054,0
0.999999988,0.00043929397,0.999680766,0.0132410393,0.00102911513,0
0.999999996,0.00012461565,0.999799917,0.00644962827,0.000253014158,0
1,1.10E-06,0.99998668,0.000325263751,1.14E-06,0
0.999996774,0.0214471287,0.994211236,0.0458220275,0.014912114,0
0.999999999,2.82E-06,0.999954642,0.000512911267,2.83E-06,0
1,0,1.000000201,0,0,0
1,0,1.000000201,0,0,0
0.999999995,4.12E-06,0.999896249,0.000618302787,4.11E-06,0
0.999999611,0.00072120462,0.998196578,0.00891867331,0.000733654311,0
1,0,1.000000164,0,0,0
0.999999996,5.09E-05,0.999882279,0.00249132254,4.81E-05,0
1,0,0.999999982,1.05E-08,0,0
1,0,0.999999982,1.05E-08,0,0
0.999999958,0.000578540128,0.99911767,0.00705730512,0.000441068063,0
1,0,0.999999951,1.05E-08,0,0
0.999999996,2.76E-05,0.999892776,0.00218296837,3.75E-05,0
0.99999999,9.37E-06,0.999859554,0.000953380742,9.76E-06,0
1,0,1.000000038,0,0,0
0.999999916,0.0011080475,0.998979007,0.00848026237,0.000636842024,0
0.999999994,3.12E-05,0.999854097,0.00258485626,4.85E-05,0
1,0,0.999999929,0,0,0
1,0,0.999999929,0,0,0
0.999999995,3.18E-05,0.999872936,0.00254577199,4.64E-05,0
0.999999975,0.000155101015,0.999407799,0.00480889059,0.000193800683,0
0.999999993,0.000207036792,0.999853062,0.00811514291,0.000388086249,0
0.999999996,5.16E-05,0.999882237,0.00250146149,4.87E-05,0
1,0,1.000000128,0,0,0
1,0,1.000000128,0,0,0
0.999999696,0.0331055555,0.997681125,0.0213433163,0.00334203756,0
1,0,1.000000297,0,0,0
0.999999996,2.53E-05,0.99989313,0.00202366972,3.40E-05,0
0.99999999,9.35E-06,0.999870627,0.000941853048,9.53E-06,0
1,0,1.000000388,0,0,0
0.999999852,0.000951861598,0.998755,0.00961599519,0.000812732497,0
0.999999994,0.000220833104,0.9998543,0.00231265169,4.96E-05,0
1,0,0.999999955,0,0,0
1,0,0.999999955,0,0,0
0.999999995,3.38E-05,0.999872962,0.0022701791,4.75E-05,0
0.99999995,0.000170567756,0.999282895,0.00491067579,0.000211263999,0
1,6.15E-06,0.999974206,0.000806572776,6.91E-06,0
0.999999996,0.000103427845,0.999882041,0.00240844358,5.17E-05,0
1,0,1.000000021,0,0,0
1,0,1.000000021,0,0,0
0.999999946,0.000838910642,0.998942083,0.00822888236,0.000593295508,0
1,0,1.000000297,0,0,0
0.999999996,2.53E-05,0.99989313,0.00202366972,3.40E-05,0
